ACT97415.1	ARO:3002999	CblA-1	mixed culture bacterium AX_gF3SD01_15
ABV31690.1	ARO:3001641	OXA-110	Acinetobacter baumannii
ACT66697.1	ARO:3000846	SIM-1 beta-lactamase	Acinetobacter bereziniae
ACB71165.1	ARO:3002316	KPC-6	Klebsiella pneumoniae
BAJ14288.1	ARO:3002270	IND-15	Chryseobacterium indologenes
AAK64187.1	ARO:3001092	SHV-34	Escherichia coli
AEM44648.1	ARO:3001970	CTX-M-110	Shigella sp. SH165
ABV71248.1	ARO:3001635	OXA-82	Acinetobacter baumannii
CAJ19615.1	ARO:3002440	OKP-B-7	Klebsiella pneumoniae
AAX56615.1	ARO:3001004	TEM-141	Enterobacter cloacae
CBJ06718.1	ARO:3001042	TEM-177	Proteus mirabilis
AEM44654.1	ARO:3001969	CTX-M-109	Shigella sp. SH361] Partial
AEB98923.1	ARO:3001482	OXA-197	Acinetobacter nosocomialis
AAK63223.1	ARO:3003561	Sed1 beta-lactamase	Citrobacter sedlakii
BAD95494.1	ARO:3002895	SAT-1	Escherichia coli
CAA37477.1	ARO:3002891	otr(A)	Streptomyces rimosus
AAL75563.1	ARO:3000168	tet(D)	Shigella flexneri Y
AAG04518.1	ARO:3000149	fosA	Pseudomonas aeruginosa PAO1
CAA37806.1	ARO:3002684	catII	Haemophilus influenzae
CAG25831.1	ARO:3002445	OKP-B-12	Klebsiella pneumoniae
ABW86620.2	ARO:3001941	CTX-M-80	Klebsiella pneumoniae
AAO43110.1	ARO:3000300	lsaA	Enterococcus faecalis ATCC 29212
AAA26549.1	ARO:3002549	AAC(6')-Ic	Serratia marcescens
AKO71461.1	ARO:3004608	EreD	Riemerella anatipestifer
ACV69996.1	ARO:3002386	BEL-2	Pseudomonas aeruginosa
ACI29347.1	ARO:3002495	CTX-M-85	Salmonella enterica subsp. enterica serovar Albany
AAS78754.1	ARO:3002261	IND-5	Chryseobacterium indologenes
CAB42615.1	ARO:3002394	OXY-1-6	Klebsiella oxytoca
AAL27444.1	ARO:3002971	vanTE	Enterococcus faecalis
AHA80105.1	ARO:3001841	ACT-20	Enterobacter hormaechei
BAB72069.1	ARO:3002201	IMP-10	Pseudomonas aeruginosa
CAI43419.1	ARO:3002412	OXY-5-2	Klebsiella oxytoca
ABV31691.1	ARO:3001642	OXA-111	Acinetobacter baumannii
AAL14439.1	ARO:3000774	adeA	Acinetobacter baumannii
AEV91553.1	ARO:3001713	OXA-214	Acinetobacter haemolyticus
AAC75137.1	ARO:3000794	mdtC	Escherichia coli str. K-12 substr. MG1655
CAA71321.1	ARO:3001866	CTX-M-3	Citrobacter freundii
AAC75429.1	ARO:3000833	evgS	Escherichia coli str. K-12 substr. MG1655
AFQ23953.1	ARO:3001186	SHV-147	Klebsiella pneumoniae
AGC51118.1	ARO:3000617	mecA	Staphylococcus aureus
ABA06587.1	ARO:3001120	SHV-65	Klebsiella pneumoniae
ACH58985.1	ARO:3002485	LRA-2	uncultured bacterium BLR2
AAW81337.1	ARO:3001614	OXA-65	Acinetobacter baumannii
ADK35874.1	ARO:3001470	OXA-170	Acinetobacter baumannii
AAC25500.1	ARO:3002560	AAC(6')-Iq	Klebsiella pneumoniae
ACL82958.1	ARO:3002939	vanSM	Enterococcus faecium
AAM76670.1	ARO:3002625	ANT(4')-IIb	Pseudomonas aeruginosa
AAC75731.1	ARO:3000516	emrR	Escherichia coli str. K-12 substr. MG1655
ABB17185.1	ARO:3001914	CTX-M-52	Klebsiella pneumoniae
AGV10830.1	ARO:3002647	APH(3')-IIIa	Campylobacter coli CVM N29710
AAM09850.1	ARO:3002944	vanHD	Enterococcus faecium
ACV32636.1	ARO:3001173	SHV-126	Escherichia coli
ABW03157.2	ARO:3002722	QnrB8	Citrobacter freundii
AAA22562.1	ARO:3002878	BcII	Bacillus cereus
BAA15935.1	ARO:3000828	baeR	Escherichia coli str. K-12 substr. W3110
AAR20595.1	ARO:3000090	BLA1	Bacillus anthracis
AAF42063.1	ARO:3000810	mtrC	Neisseria meningitidis MC58
AAP43641.1	ARO:3001810	OXA-53	Salmonella enterica subsp. enterica serovar Agona
ADK35870.1	ARO:3001466	OXA-166	Acinetobacter baumannii
AAG07593.1	ARO:3000807	mexH	Pseudomonas aeruginosa PAO1
ABN49111.1	ARO:3001146	SHV-94	Klebsiella pneumoniae
AJA32743.1	ARO:3003148	OXA-425	Acinetobacter baumannii
AAG29760.1	ARO:3002258	IND-2a	Chryseobacterium indologenes
CAC85660.1	ARO:3000960	TEM-93	Escherichia coli
ACC54440.2	ARO:3002799	QnrVC1	Vibrio cholerae
AER57903.1	ARO:3001500	OXA-251	Pseudomonas aeruginosa
AAR97270.1	ARO:3002334	GES-5	Escherichia coli
ABC96711.1	ARO:3001016	TEM-149	Klebsiella aerogenes
CAX16467.1	ARO:3003018	dfrA22	uncultured bacterium
AFQ94051.1	ARO:3001991	CTX-M-132	Escherichia coli
ADL27533.1	ARO:3002294	VIM-24	Klebsiella pneumoniae
AID67109.1	ARO:3001495	OXA-233	Citrobacter freundii
AEL88491.1	ARO:3001669	OXA-223	Acinetobacter baumannii
AGS82587.1	ARO:3002222	IMP-31	Pseudomonas aeruginosa
AAK96394.1	ARO:3002240	CARB-1	Pseudomonas aeruginosa
AHA80102.1	ARO:3002113	CMY-101	Escherichia coli
AAP43642.1	ARO:3002588	AAC(6')-I30	Salmonella enterica subsp. enterica serovar Agona
AAG03380.1	ARO:3002703	cmx	Corynebacterium striatum
ABA42119.2	ARO:3000865	oleD	Streptomyces antibioticus
BAD89844.2	ARO:3000753	abeM	Acinetobacter baumannii
AGL43630.1	ARO:3002781	QnrB69	Citrobacter freundii
AAC46343.1	ARO:3002581	AAC(6')-Ib10	Pseudomonas aeruginosa
AAN75444.1	ARO:3001888	CTX-M-26	Klebsiella pneumoniae
AAC64365.1	ARO:3000230	ANT(2'')-Ia	Pseudomonas aeruginosa
BAF56185.1	ARO:3002037	CMY-26	Klebsiella oxytoca
AAK31370.1	ARO:3002022	CMY-11	Escherichia coli
ACS44784.1	ARO:3002185	MOX-6	Aeromonas caviae
CAL80726.1	ARO:3001921	CTX-M-60	Klebsiella pneumoniae
CAA38525.1	ARO:3002535	AAC(3)-IIc	Escherichia coli
AGU69251.1	ARO:3001684	OXA-313	Acinetobacter baumannii
AFC75523.1	ARO:3001053	TEM-193	Acinetobacter baumannii
AAA22904.1	ARO:3000578	CcrA beta-lactamase	Bacteroides fragilis
AGE00988.1	ARO:3002668	rmtG	Klebsiella pneumoniae
AHE78014.1	ARO:3001861	IMI-4	Enterobacter cloacae
AHL30286.1	ARO:3001568	OXA-382	Acinetobacter baumannii
AAL19305.1	ARO:3000790	mdsB	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
AAA16527.1	ARO:3002630	ANT(9)-Ia	Enterococcus faecalis
ABI53716.1	ARO:3001649	OXA-99	Acinetobacter baumannii
AAA50325.1	ARO:3003036	oleB	Streptomyces antibioticus
AIX87991.1	ARO:3003180	KPC-22	Klebsiella pneumoniae
ATC67679.1	ARO:3000838	arlR	Staphylococcus aureus subsp. aureus str. Newman
ACY74743.1	ARO:3001952	CTX-M-92	Escherichia coli
CAK12750.1	ARO:3002619	aadA22	Salmonella enterica subsp. enterica serovar Typhimurium
CAC33832.1	ARO:3000851	THIN-B beta-lactamase	Janthinobacterium lividum
AGK07370.1	ARO:3001694	OXA-257	Acinetobacter bereziniae
CAA80304.1	ARO:3001406	OXA-11	Pseudomonas aeruginosa
AAO04716.1	ARO:3002865	dfrC	Staphylococcus epidermidis ATCC 12228
ABV31688.1	ARO:3001639	OXA-108	Acinetobacter baumannii
AGU69253.1	ARO:3001686	OXA-315	Acinetobacter baumannii
ACS32293.1	ARO:3001935	CTX-M-74	Enterobacter cloacae
AAK99775.1	ARO:3000614	mefE	Streptococcus pneumoniae R6
AHL30283.1	ARO:3001576	OXA-390	Acinetobacter baumannii
AHL30284.1	ARO:3001574	OXA-388	Acinetobacter baumannii
BAA77393.1	ARO:3002194	IMP-3	Shigella flexneri
ADC55560.1	ARO:3000858	armA	Pseudomonas aeruginosa
AGU69248.1	ARO:3001443	OXA-121	Acinetobacter baumannii
AEM97674.1	ARO:3002075	CMY-62	Escherichia coli
AAQ93491.1	ARO:3000986	TEM-124	Morganella morganii
CAB36902.1	ARO:3002017	CMY-6	Escherichia coli
AAD02245.1	ARO:3001414	OXA-19	Pseudomonas aeruginosa
AAR32134.1	ARO:3001792	OXA-62	Pandoraea pnomenusa
BAM28879.1	ARO:3001204	SHV-167	Klebsiella pneumoniae
ADI58616.1	ARO:3001656	OXA-172	Acinetobacter baumannii
ABX72227.1	ARO:3002730	QnrB15	Citrobacter freundii
AAB41701.1	ARO:3002526	AAC(2')-Id	Mycolicibacterium smegmatis MC2 155
ABE03012.1	ARO:3001625	OXA-89	Acinetobacter baumannii
ACD84989.1	ARO:3001652	OXA-131	Acinetobacter baumannii
ADT91161.1	ARO:3002135	DHA-6	Escherichia coli
BAR45714.1	ARO:3003610	OXA-454	Delftia acidovorans
AAF17880.1	ARO:3002605	aadA5	Escherichia coli
CAC43229.1	ARO:3000952	TEM-85	Klebsiella pneumoniae
AAF86697.1	ARO:3001817	ACC-3	Hafnia alvei
CAO98721.1	ARO:3000886	TEM-15	Haemophilus parainfluenzae
CAB42614.1	ARO:3002399	OXY-2-4	Klebsiella oxytoca
ADV91011.1	ARO:3000245	RbpA	Mycolicibacterium smegmatis MC2 155
AAK12087.1	ARO:3002198	IMP-7	Pseudomonas aeruginosa
BAA16344.1	ARO:3000491	acrD	Escherichia coli str. K-12 substr. W3110
AAB03413.1	ARO:3003099	cphA2	Aeromonas hydrophila
BAF92780.1	ARO:3001115	SHV-60	Klebsiella pneumoniae
ACV32635.1	ARO:3001172	SHV-125	Klebsiella pneumoniae
ACZ98826.1	ARO:3002344	GES-15	Pseudomonas aeruginosa
AAU95778.1	ARO:3002029	CMY-18	Escherichia coli
AAK07612.2	ARO:3000604	Erm(35)	Bacteroides coprosuis DSM 18011
AAK52606.1	ARO:3002696	cmlA6	Pseudomonas aeruginosa
CBX53726.1	ARO:3000910	TEM-40	Escherichia coli
AAC76298.1	ARO:3000502	acrF	Escherichia coli str. K-12 substr. MG1655
AAF34333.1	ARO:3001077	SHV-19	Klebsiella pneumoniae
CAJ47135.2	ARO:3001134	SHV-80	Klebsiella pneumoniae
CDG50843.1	ARO:3001962	CTX-M-103	Escherichia coli
BAE78084.1	ARO:3003548	mdtN	Escherichia coli str. K-12 substr. W3110
AAM74565.1	ARO:3002246	CARB-7	Vibrio cholerae non-O1/non-O139
ADK25051.1	ARO:3002268	IND-12	Chryseobacterium indologenes
AAC76297.1	ARO:3000499	acrE	Escherichia coli str. K-12 substr. MG1655
ACQ82811.1	ARO:3002505	PDC-6	Pseudomonas aeruginosa
CAJ19608.1	ARO:3002427	OKP-A-10	Klebsiella pneumoniae
AAF36719.1	ARO:3001084	SHV-26	Klebsiella pneumoniae
CAG15145.1	ARO:3001772	OXA-59	Burkholderia pseudomallei
CEA29752.1	ARO:3003173	MIR-17	Enterobacter cloacae
AHJ78622.1	ARO:3001393	TEM-216	Escherichia coli
AAM09853.1	ARO:3002957	vanYD	Enterococcus faecium
AIT76090.1	ARO:3002123	CMY-112	Citrobacter freundii
ACZ65153.1	ARO:3002265	IND-9	Chryseobacterium indologenes
AAT49070.1	ARO:3002206	IMP-15	Pseudomonas aeruginosa
AAF72531.1	ARO:3001876	CTX-M-13	Klebsiella pneumoniae
ABI81768.1	ARO:3001023	TEM-157	Enterobacter cloacae
CAQ42481.2	ARO:3001939	CTX-M-78	Kluyvera georgiana
ADX95999.1	ARO:3002873	FosB3	Enterococcus faecium
BAA03718.1	ARO:3002689	plasmid-encoded cat (pp-cat)	Photobacterium damselae subsp. piscicida
AAB28795.1	ARO:3000178	tet(K)	Staphylococcus aureus
CAA11473.1	ARO:3002678	Pseudomonas aeruginos catB6	Pseudomonas aeruginosa
ABY56290.1	ARO:3001118	SHV-63	Klebsiella pneumoniae
ACH59005.1	ARO:3002513	LRA-19	uncultured bacterium BLR19
AEZ05107.1	ARO:3002348	GES-19	Escherichia coli
BAD00739.1	ARO:3002607	aadA7	Vibrio fluvialis
AAD43815.1	ARO:3001072	SHV-13	Klebsiella pneumoniae
CAP12350.2	ARO:3002469	LEN-22	Klebsiella pneumoniae
ADR66517.1	ARO:3001179	SHV-135	Escherichia coli
AFK80333.1	ARO:3001313	facT	Streptomyces sp. WAC5292
AEH59666.1	ARO:3002741	QnrB26	Proteus vulgaris
ACJ41739.1	ARO:3000780	adeI	Acinetobacter baumannii AB0057
AIT76094.1	ARO:3002149	DHA-18	Morganella morganii
BAA07082.1	ARO:3001906	CTX-M-44	Escherichia coli
CAQ03504.1	ARO:3001337	SHV-99	Klebsiella pneumoniae
AFN69127.1	ARO:3001058	TEM-199	Proteus mirabilis] Partial
ACJ61335.1	ARO:3002249	CARB-10	Acinetobacter baumannii
BAM62794.1	ARO:3002231	IMP-40	Pseudomonas aeruginosa
AAA26775.1	ARO:3003564	EXO beta-lactamase	Streptomyces albus
AAL78276.1	ARO:3002392	OXY-1-4	Klebsiella oxytoca
CAA82281.1	ARO:3002379	SME-1	Serratia marcescens
BAA78619.1	ARO:3002544	AAC(3)-Xa	Streptomyces griseus
AHL39340.1	ARO:3001847	ACT-27	Enterobacter cloacae
AGH56079.1	ARO:3002190	MOX-8	Aeromonas caviae
BAA02497.1	ARO:3002250	CARB-12	Proteus mirabilis
AAP03063.1	ARO:3001105	SHV-48	Klebsiella pneumoniae
AAN05028.1	ARO:3000941	TEM-75	Klebsiella pneumoniae] Partial
BAF36388.1	ARO:3002048	CMY-37	Citrobacter freundii
CAQ03507.1	ARO:3001156	SHV-107	Klebsiella pneumoniae
CAD91132.1	ARO:3002839	lnuF	Escherichia coli
ACA30419.1	ARO:3002186	MOX-3	Aeromonas sp. HCUZ 2422275
ADD80743.1	ARO:3002368	PER-6	Aeromonas allosaccharophila
CAA55007.1	ARO:3001857	LAT-1	Klebsiella pneumoniae
ABZ81086.1	ARO:3001829	ACT-4	Enterobacter asburiae
AEQ73521.1	ARO:3001806	OXA-224	Pseudomonas aeruginosa
AHG97174.1	ARO:3003011	dfrA10	Klebsiella pneumoniae
AAP97129.1	ARO:3003104	cphA8	Aeromonas sobria
ACA34904.1	ARO:3002374	VEB-6	Proteus mirabilis
CAA68516.1	ARO:3002657	APH(6)-Ia	Streptomyces griseus
ACV32310.1	ARO:3002060	CMY-49	Citrobacter freundii
AEM66528.1	ARO:3001809	OXA-209	Riemerella anatipestifer
AAN05031.1	ARO:3002472	LEN-4	Klebsiella pneumoniae] Partial
AGZ20169.1	ARO:3002120	CMY-108	Escherichia coli
AFU25650.1	ARO:3001834	ACT-12	Enterobacter cloacae
AAD51344.1	ARO:3003051	smeA	Stenotrophomonas maltophilia
ADU33193.1	ARO:3002708	QnrA2	Shewanella algae
AAF36804.1	ARO:3002952	vanXF	Paenibacillus popilliae ATCC 14706
ABX54690.1	ARO:3002974	vanTrL	Enterococcus faecalis
AIY30332.1	ARO:3003161	OXA-423	Acinetobacter baumannii
AAS92558.1	ARO:3002381	SME-3	Serratia marcescens
AGL43625.1	ARO:3002776	QnrB64	Citrobacter freundii
AFG73659.1	ARO:3002219	IMP-28	Klebsiella oxytoca
AFK80349.1	ARO:3002354	NDM-3	Escherichia coli
CBB16411.1	ARO:3002056	CMY-45	Proteus mirabilis
AAG23871.1	ARO:3001427	OXA-33	Pseudomonas aeruginosa
AAC78336.1	ARO:3002826	EreA2	Providencia stuartii
AAF86220.1	ARO:3002844	vatE	Enterococcus faecium
ABC54571.1	ARO:3001139	SHV-85	Klebsiella pneumoniae
AEZ49857.1	ARO:3002302	VIM-32	Klebsiella oxytoca
AEN75249.1	ARO:3002229	IMP-38	Klebsiella pneumoniae
ABM54870.1	ARO:3001026	TEM-160	Proteus mirabilis
AAL20537.1	ARO:3002571	AAC(6')-Iaa	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
AAP41944.1	ARO:3001108	SHV-51	Klebsiella pneumoniae
ACR22829.1	ARO:3001034	TEM-168	Escherichia coli
CAI29263.1	ARO:3000994	TEM-130	Klebsiella pneumoniae
ABF50983.1	ARO:3001437	OXA-67	Acinetobacter baumannii
AAL29433.1	ARO:3000948	TEM-81	Escherichia coli
CCJ32597.1	ARO:3001674	OXA-249	Acinetobacter baumannii
AFQ32277.1	ARO:3001344	SHV-143	Klebsiella pneumoniae
WP_063864594.1	ARO:3002367	PER-5	Providencia rettgeri
CAH03679.1	ARO:3002027	CMY-16	Proteus mirabilis
AIZ00987.1	ARO:3003117	OXA-421	Acinetobacter pittii
AAK58421.1	ARO:3002331	GES-2	Pseudomonas aeruginosa
ABX71158.1	ARO:3001153	SHV-104	Klebsiella pneumoniae
AAC14728.1	ARO:3002603	aadA3	Plasmid NR79
AIA09786.1	ARO:3000861	rmtC	Pseudomonas aeruginosa
AFU25647.1	ARO:3001836	ACT-14	Enterobacter cloacae
CAH35803.1	ARO:3002982	amrA	Burkholderia pseudomallei K96243
ABB72431.1	ARO:3002033	CMY-22	Escherichia coli
EOD99669.1	ARO:3002875	dfrE	Enterococcus faecalis EnGen0074
CCF55073.1	ARO:3003205	Erm(43)	Staphylococcus lentus
AAF86641.1	ARO:3002922	vanRC	Enterococcus gallinarum
AAC32025.1	ARO:3002650	APH(3')-Vb	Streptomyces ribosidificus
AAF86219.1	ARO:3000375	ErmB	Enterococcus faecium] Partial
AAD51348.1	ARO:3003066	smeR	Stenotrophomonas maltophilia
AAW81358.1	ARO:3001645	OXA-78	Acinetobacter baumannii
AAN63647.1	ARO:3000843	MUS-1 beta-lactamase	Myroides odoratimimus
AAA25293.1	ARO:3000192	tetS	Listeria monocytogenes
AAS68233.1	ARO:3000391	norA	Staphylococcus epidermidis
AEK80394.1	ARO:3001182	SHV-140	Klebsiella pneumoniae
ABC94518.1	ARO:3002283	VIM-13	Pseudomonas aeruginosa
CEA29750.1	ARO:3003154	SHV-187	Klebsiella pneumoniae
CCP46065.1	ARO:3000816	mtrA	Mycobacterium tuberculosis H37Rv
CAP12360.2	ARO:3002453	OKP-B-20	Klebsiella pneumoniae
ABA71733.1	ARO:3002972	vanTG	Enterococcus faecalis
AAU10334.1	ARO:3002628	aad(6)	Streptococcus oralis
BAD90119.1	ARO:3001924	CTX-M-63	Klebsiella pneumoniae
ABV66096.1	ARO:3002731	QnrB16	Citrobacter freundii
AHM76777.1	ARO:3001839	ACT-18	Enterobacter cloacae
AAM09852.1	ARO:3003070	vanXD	Enterococcus faecium
AAP08996.1	ARO:3000172	FosB	Bacillus cereus ATCC 14579
ADV41666.1	ARO:3001475	OXA-183	Pseudomonas aeruginosa
BAM10414.1	ARO:3003039	oprA	Pseudomonas aeruginosa
AAL27446.1	ARO:3002935	vanSE	Enterococcus faecalis
AEO92079.1	ARO:3001483	OXA-205	Pseudomonas aeruginosa
AEK48094.1	ARO:3001159	SHV-110	Klebsiella pneumoniae
ABF47914.1	ARO:3001627	OXA-91	Acinetobacter baumannii
ABI63579.1	ARO:3001412	OXA-17	Klebsiella pneumoniae] Partial
ABR10839.1	ARO:3002586	AAC(6')-32	Pseudomonas aeruginosa
ACV32633.1	ARO:3001170	SHV-123	Klebsiella pneumoniae
ABP88094.1	ARO:3002723	QnrB9	Citrobacter freundii
CAA30695.1	ARO:3002685	catIII	Plasmid R387
ABL67017.1	ARO:3001823	ACT-3	Klebsiella pneumoniae
ABB89122.1	ARO:3002861	dfrA5	Salmonella enterica subsp. enterica serovar Enteritidis
AGH08253.1	ARO:3002803	QnrVC6	Vibrio parahaemolyticus
ACU00152.1	ARO:3002086	CMY-73	Citrobacter freundii
CAD89606.1	ARO:3001894	CTX-M-32	Escherichia coli
AAG45720.1	ARO:3001405	OXA-10	Escherichia coli
AFU25656.1	ARO:3002765	QnrB50	Citrobacter freundii
AAU89132.1	ARO:3002365	PER-3	Aeromonas caviae
ADM52186.1	ARO:3002742	QnrB27	Citrobacter braakii
ADW84690.1	ARO:3002077	CMY-64	Escherichia coli
ACI32877.1	ARO:3002859	dfrA14	Escherichia coli
AGU59995.1	ARO:3002070	CMY-99	Proteus mirabilis
AAA98349.1	ARO:3001307	VgbA	Staphylococcus aureus
BAI83385.1	ARO:3003440	mecB	Macrococcus caseolyticus
AAM34291.1	ARO:3001419	OXA-24	Acinetobacter baumannii
CAA66730.1	ARO:3001061	SHV-2A	Klebsiella pneumoniae
CAL85435.1	ARO:3001439	OXA-101	Citrobacter freundii
AAF34337.1	ARO:3001081	SHV-23	Klebsiella pneumoniae
ACH58980.1	ARO:3002482	LRA-1	uncultured bacterium BLR1
ACI28880.1	ARO:3002575	AAC(6')-Iai	Pseudomonas aeruginosa
ABC58727.1	ARO:3001140	SHV-86	Klebsiella pneumoniae
ACI29346.1	ARO:3001945	CTX-M-84	Salmonella enterica subsp. enterica serovar Derby
AAP69913.1	ARO:3003101	cphA5	Aeromonas salmonicida
AAK32961.1	ARO:3001879	CTX-M-16	Escherichia coli
ACK75961.1	ARO:3002787	QnrC	Proteus mirabilis
CAH69530.1	ARO:3001798	OXA-74	Pseudomonas aeruginosa
AHA49908.1	ARO:3002382	SME-4	Serratia marcescens
AAU93796.1	ARO:3000594	ErmR	Aeromicrobium erythreum] Partial
CAP60699.1	ARO:3002049	CMY-38	Proteus mirabilis
AFC75524.1	ARO:3001054	TEM-194	Acinetobacter baumannii
AAK63040.1	ARO:3002635	APH(2'')-IIa	Escherichia coli
AHY20039.1	ARO:3002009	CTX-M-152	Kluyvera sp. MRB7
AAL27442.1	ARO:3002907	vanE	Enterococcus faecalis
AHA11125.1	ARO:3001549	OXA-362	Acinetobacter lwoffii
CAB75346.1	ARO:3000582	L1 beta-lactamase	Stenotrophomonas maltophilia
AIS67612.1	ARO:3003164	CTX-M-156	Klebsiella pneumoniae
AAN39364.1	ARO:3001103	SHV-45	Klebsiella pneumoniae
AAB53445.1	ARO:3002897	SAT-4	Campylobacter coli
AAB41957.1	ARO:3000801	MexD	Pseudomonas aeruginosa
AAP93922.1	ARO:3000569	tet(41)	Serratia marcescens
AAB53259.1	ARO:3002671	Lactobacillus reuteri cat-TC	Lactobacillus reuteri
ABA71730.1	ARO:3002965	vanWG	Enterococcus faecalis
AIY26289.1	ARO:3003194	GIM-2	Enterobacter cloacae
AYV52072.1	ARO:3002882	lmrD	Lactococcus lactis
ADM26744.1	ARO:3001473	OXA-179	Acinetobacter baumannii
CBY88983.1	ARO:3002833	vgaE	Staphylococcus aureus subsp. aureus ST398
CBL80615.1	ARO:3001955	CTX-M-95	Kluyvera ascorbata
AFQ23960.1	ARO:3001193	SHV-154	Klebsiella pneumoniae
AEK48085.1	ARO:3001056	TEM-197	Klebsiella pneumoniae
CAD80251.1	ARO:3002204	IMP-13	Pseudomonas aeruginosa
ACV92002.1	ARO:3001932	CTX-M-71	Klebsiella pneumoniae
ABB72225.1	ARO:3001915	CTX-M-53	Salmonella enterica subsp. enterica serovar Westhampton
AAA23215.1	ARO:3002687	catQ	Clostridium perfringens
AFK73443.1	ARO:3002091	CMY-78	Citrobacter freundii
ABA71727.1	ARO:3002926	vanRG	Enterococcus faecalis
AFR46588.1	ARO:3002770	QnrB57	Citrobacter freundii
ACS44785.1	ARO:3002189	MOX-7	Aeromonas caviae
AHW47897.1	ARO:3002122	CMY-111	Serratia marcescens
CAJ32371.1	ARO:3001138	SHV-84	Escherichia coli
AIT76117.1	ARO:3002179	MIR-14	Enterobacter asburiae
ADX07748.1	ARO:3001664	OXA-203	Acinetobacter baumannii
BAD63613.1	ARO:3002816	clbC	Bacillus clausii KSM-K16
AAG06942.1	ARO:3002985	arnA	Pseudomonas aeruginosa PAO1
AAY42633.1	ARO:3001124	SHV-70	Enterobacter cloacae
AGU38146.1	ARO:3001828	ACT-23	Enterobacter cloacae
AAZ23494.1	ARO:3001003	TEM-139	Klebsiella pneumoniae
AAG07594.1	ARO:3000808	mexI	Pseudomonas aeruginosa PAO1
AAZ95872.1	ARO:3001865	CTX-M-2	Escherichia coli
AIT76100.1	ARO:3002152	DHA-21	Morganella morganii
CAD88477.1	ARO:3002026	CMY-15	Proteus mirabilis
CAA39038.1	ARO:3002553	AAC(6')-If	Enterobacter cloacae
BAD81061.1	ARO:3002211	IMP-20	Pseudomonas aeruginosa
CAA91010.1	ARO:3002559	AAC(6')-Ip	Citrobacter freundii
ABN49113.1	ARO:3001147	SHV-95	Citrobacter freundii
AAN05026.1	ARO:3000980	TEM-117	Escherichia coli] Partial
ABO09821.1	ARO:3001940	CTX-M-79	Escherichia coli
AAM92464.1	ARO:3002594	AAC(6')-IIa	Salmonella enterica subsp. enterica serovar Typhi
CAJ19612.1	ARO:3002437	OKP-B-4	Klebsiella pneumoniae
CCE73593.2	ARO:3001503	OXA-258	Achromobacter ruhlandii
AHL30275.1	ARO:3001561	OXA-375	Acinetobacter baumannii
AAO59455.1	ARO:3002247	CARB-8	Oligella urethralis
CAP12357.2	ARO:3002450	OKP-B-17	Klebsiella pneumoniae
CAB46491.1	ARO:3001815	ACC-1	Klebsiella pneumoniae
AAX14803.1	ARO:3000782	adeK	Acinetobacter baumannii
AFK13828.1	ARO:3000823	ramA	Enterobacter cloacae
AAB05628.1	ARO:3002950	vanXB	Enterococcus faecalis
AAM15527.1	ARO:3000947	TEM-80	Enterobacter cloacae
AEZ49855.1	ARO:3002081	CMY-68	Citrobacter freundii
AAF36806.1	ARO:3002963	vanZF	Paenibacillus popilliae ATCC 14706
AHA80960.1	ARO:3001388	TEM-211	Proteus mirabilis
AAZ78355.1	ARO:3002712	QnrA6	Proteus mirabilis
AAD03492.1	ARO:3002564	AAC(6')-It	Acinetobacter genomosp. 16BJ
AAC32890.1	ARO:3001868	CTX-M-5	Salmonella enterica subsp. enterica serovar Typhimurium
AEX59144.1	ARO:3002347	GES-18	Pseudomonas aeruginosa
AAA21532.1	ARO:3003559	cepA beta-lactamase	Bacteroides fragilis
ABC17627.1	ARO:3002547	AAC(6')-Ib-cr	Escherichia coli
AAP40270.1	ARO:3001671	OXA-49	Acinetobacter baumannii
AAV85981.1	ARO:3000533	macA	Neisseria gonorrhoeae
CAA52372.1	ARO:3002656	APH(4)-Ib	Burkholderia pseudomallei
ABG72894.1	ARO:3002621	aadA24	Salmonella enterica subsp. enterica serovar Newport
AGL43628.1	ARO:3002779	QnrB67	Citrobacter braakii
CAP12346.2	ARO:3002465	LEN-18	Klebsiella pneumoniae
AAN04882.1	ARO:3001098	SHV-40	Klebsiella pneumoniae
AAK15582.1	ARO:3001428	OXA-34	Pseudomonas aeruginosa
AAM63403.1	ARO:3003093	CEPH-A3	Aeromonas veronii bv. sobria
ACQ99521.1	ARO:3001950	CTX-M-90	Salmonella sp. YLD3
AHA41505.1	ARO:3002930	vanRO	Rhodococcus hoagii
AGU69255.1	ARO:3001688	OXA-317	Acinetobacter baumannii
ABR18736.1	ARO:3002042	CMY-31	Klebsiella pneumoniae
CAQ49384.1	ARO:3000186	tetM	Staphylococcus aureus subsp. aureus ST398
AAY85632.1	ARO:3001006	TEM-143	Escherichia coli
AGW83451.1	ARO:3001540	OXA-353	Acinetobacter calcoaceticus
AEL22919.1	ARO:3002138	DHA-5	Morganella morganii
CAG25427.1	ARO:3000999	TEM-135	Salmonella enterica subsp. enterica serovar Typhimurium
CAC17626.1	ARO:3002519	OCH-6	Ochrobactrum anthropi
AHA41501.1	ARO:3002954	vanXO	Rhodococcus hoagii
AHL39333.1	ARO:3001848	ACT-28	Enterobacter cloacae
AAR92235.1	ARO:3000602	Erm(39)	Mycolicibacterium fortuitum
AAD22636.1	ARO:3002166	MIR-1	Klebsiella pneumoniae
